C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_CE_TM.txt	Peak Intensities									
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
544.6	369.00	Positive	Confirmed and Common Results	IS Chol 9:0	(FA 20:0+C3H6O/Chol)	16869875	15516250	151707497398	14463125	12362928766
684.8	369.00	Positive	Confirmed and Common Results	IS Chol 19:0	(FA 20:0+C3H6O/Chol)	118567020699	101314613682	100407917856	107190411608	11073125
752.9	369.00	Positive	Confirmed and Common Results	IS Chol 24:1	(FA 20:0+C3H6O/Chol)	17638375	14496375	122359463741	15265625	21154125
612.7	369.00	Positive	Confirmed and Common Results	Chol 14:1	(FA 20:0+C3H6O/Chol)	2050683144	652476771	96558176	1126768795	372558274
614.7	369.00	Positive	Confirmed and Common Results	Chol 14:0	(FA 20:0+C3H6O/Chol)	5118143546	2219778776	3595333326	2940777317	98250
628.7	369.00	Positive	Confirmed and Common Results	Chol 15:0	(FA 20:0+C3H6O/Chol)	4563847378	2220396015	2890246991	2693572313	102250
638.7	369.00	Positive	Confirmed and Common Results	Chol 16:2	(FA 20:0+C3H6O/Chol)	1303633966	67500	727479012	702126012	31250
640.7	369.00	Positive	Confirmed and Common Results	Chol 16:1	(FA 20:0+C3H6O/Chol)	14898111816	6571738386	7423807468	6718325043	2711365618
642.7	369.00	Positive	Confirmed and Common Results	Chol 16:0	(FA 20:0+C3H6O/Chol)	17860873249	870418066	9874115146	8818554608	1674005609
654.7	369.00	Positive	Confirmed and Common Results	Chol 17:1	(FA 20:0+C3H6O/Chol)	3244932044	1887979727	1933465945	2081096484	84375
656.7	369.00	Positive	Confirmed and Common Results	Chol 17:0	(FA 20:0+C3H6O/Chol)	3103391682	2434750978	1992252804	1938453807	638546934
664.7	369.00	Positive	Confirmed and Common Results	Chol 18:3	(FA 20:0+C3H6O/Chol)	284127858	1171870679	2539411999	164200833	362414535
666.7	369.00	Positive	Confirmed and Common Results	Chol 18:2	(FA 20:0+C3H6O/Chol)	7054391004	3864045379	4347739944	4123398179	136500
668.7	369.00	Positive	Confirmed and Common Results	Chol 18:1	(FA 20:0+C3H6O/Chol)	41380307033	22112632257	24459982583	24678704923	4071992926
670.7	369.00	Positive	Confirmed and Common Results	Chol 18:0	(FA 20:0+C3H6O/Chol)	5297656576	309198438	2676405432	3554873496	735008398
682.7	369.00	Positive	Confirmed and Common Results	Chol 19:1	(FA 20:0+C3H6O/Chol)	2239591324	1279229403	1302863486	1703606911	36750
690.7	369.00	Positive	Confirmed and Common Results	Chol 20:4	(FA 20:0+C3H6O/Chol)	430215371	2974637832	217231927	317892.06	114644517
692.7	369.00	Positive	Confirmed and Common Results	Chol 20:3	(FA 20:0+C3H6O/Chol)	3390351192	1993973957	2178333248	2781734416	31480145
694.8	369.00	Positive	Confirmed and Common Results	Chol 20:2	(FA 20:0+C3H6O/Chol)	2580713229	1521536383	1800984878	2156745989	274553133
696.8	369.00	Positive	Confirmed and Common Results	Chol 20:1	(FA 20:0+C3H6O/Chol)	4384661722	2259661705	3421560301	3317978958	753998086
714.7	369.00	Positive	Confirmed and Common Results	Chol 22:6	(FA 20:0+C3H6O/Chol)	5548101558	435625	658625	10037715615	29755289
716.7	369.00	Positive	Confirmed and Common Results	Chol 22:5	(FA 20:0+C3H6O/Chol)	3621895553	2459705521	2020496635	3744951119	33889783
