"","X","Sample.1","Sample.2","Sample.3","Sample.4"
"1","PC O-30:2",NA,NA,NA,NA
"2","PC O-30:1",NA,NA,NA,NA
"3","PC O-30:0",NA,NA,NA,NA
"4","PC 30:2",NA,NA,NA,NA
"5","PC 30:1",NA,NA,NA,NA
"6","PC 30:0",NA,NA,NA,NA
"7","PC O-32:2",NA,NA,NA,NA
"8","PC O-32:1",NA,NA,NA,NA
"9","PC O-32:0",NA,NA,NA,NA
"10","PC 32:3",NA,NA,NA,NA
"11","PC 32:2",NA,NA,NA,NA
"12","PC 32:1",NA,NA,NA,NA
"13","PC 32:0",NA,NA,NA,NA
"14","PC O-34:3",NA,NA,NA,NA
"15","PC O-34:2",NA,NA,NA,NA
"16","PC O-34:1",NA,NA,NA,NA
"17","PC O-34:0",NA,NA,NA,NA
"18","PC 34:3",NA,NA,NA,NA
"19","PC 34:2",NA,NA,NA,NA
"20","PC 34:1",NA,NA,NA,NA
"21","PC 34:0",NA,NA,NA,NA
"22","PC O-36:6",NA,NA,NA,NA
"23","PC O-36:5",NA,NA,NA,NA
"24","PC O-36:4",NA,NA,NA,NA
"25","PC O-36:3",NA,NA,NA,NA
"26","PC O-36:2",NA,NA,NA,NA
"27","PC O-36:1",NA,NA,NA,NA
"28","PC O-36:0",NA,NA,NA,NA
"29","PC 36:6",NA,NA,NA,NA
"30","PC 36:5",NA,NA,NA,NA
"31","PC 36:4",NA,NA,NA,NA
"32","PC 36:3",NA,NA,NA,NA
"33","PC 36:2",NA,NA,NA,NA
"34","PC 36:1",NA,NA,NA,NA
"35","PC 36:0",NA,NA,NA,NA
"36","PC O-38:6",NA,NA,NA,NA
"37","PC O-38:5",NA,NA,NA,NA
"38","PC O-38:4",NA,NA,NA,NA
"39","PC O-38:3",NA,NA,NA,NA
"40","PC O-38:2",NA,NA,NA,NA
"41","PC O-38:1",NA,NA,NA,NA
"42","PC 38:7",NA,NA,NA,NA
"43","PC 38:6",NA,NA,NA,NA
"44","PC 38:5",NA,NA,NA,NA
"45","PC 38:4",NA,NA,NA,NA
"46","PC 38:3",NA,NA,NA,NA
"47","PC 38:2",NA,NA,NA,NA
"48","PC 38:1",NA,NA,NA,NA
"49","PC 38:0",NA,NA,NA,NA
"50","PC O-40:1",NA,NA,NA,NA
"51","PC 40:7",NA,NA,NA,NA
"52","PC 40:6",NA,NA,NA,NA
"53","PC 40:5",NA,NA,NA,NA
"54","PC 40:4",NA,NA,NA,NA
"55","SM 34:2;2",NA,NA,NA,NA
"56","SM 34:1;2",NA,NA,NA,NA
